gender,yearOfStudy,Age,major,hoursOfStudy,hoursChange,connection,How often contact,onlineQualityIsBetter,onlineStudyIsEnjoyable,onlineOrFaceToFace, What do you think about the advantages of Online University? , What do you think about the drawbacks of Online University? ,
Female,1,18,Computer,7.5,0,less connection,1,1,2,Face to face,flexible course,not enough communication,
Female,3,20,Sociology,3,0,It feels the same tbh - still see people just not in person,1,3,3,Face to face,,,
Female,4,22,Computer,2,-0.5,less connection,0,4,4,Both,,,
Female,4,22,Sociology,2.5,1,less connection,1,4,2,Face to face,It takes me 4 hours on public transport for a round trip to and from university. Online university gives me the opportunity to better use my time and has eased the stress of getting to classes. It’s also allowed me to work casually around my classes as they are more flexible ,if there is a subject that I’m struggling with I sometimes do find it difficult to understand the lecturers explanations virtually rather than face to face. ,
Male,3,21,Psychology,2.5,0.5,less connection,1,3,2,Face to face,,,
Female,2,19,Commerce,5,0,It feels the same tbh - still see people just not in person,2,3,4,Face to face,,,
Female,3,21,Administration ,2,-2,less connection,1,4,4,Both,,,
Female,3,21,Design,1.5,1,more connection,2,5,5,Both,I think it gives some people more flexibility,The quality of learning through interactions is dismal,
Female,1,18,Math,6.5,0.5,less connection,0,2,2,Face to face,,,
Male,3,23,Computer,2.5,-0.5,less connection,0,3,3,Face to face,,,
Female,4,21,Commerce,1.5,-1.5,less connection,0,5,4,Face to face,,,
Female,1,19,Biology,2.5,-0.5,less connection,0,4,3,Face to face,No travel required ,Less engaging and interactive ,
Male,3,20,Engineering,3.5,1.5,less connection,1,5,5,Face to face,,,
Male,1,19,Engineering,5,0,more connection,2,3,2,Face to face,,,
Female,1,19,Math,6,2,less connection,2,1,1,Face to face,,,
Female,1,20,Computer,4,0.5,less connection,1,3,2,Face to face,,,
Male,2,20,Psychology,3,-1,less connection,0,4,5,Face to face,,,
Male,4,22,Medicine,5,0.5,more connection,2,1,2,Both,,,
Male,4,24,Psychology,2,-0.5,less connection,1,4,4,Online,,,
Female,4,23,Computer,2,-1.5,less connection,0,5,4,Both,,,
